time,Outdoor Temp.,Diff. Solar Rad.,Direct Solar Rad.,HVAC Power,Sys Out Temp.,Heat Coil Power,Cool Coil Power,Occupancy Flag,MA Temp.,Indoor Temp. Setpoint,In Node Temp Zone 1,In Node Temp Zone 2,In Node Temp Zone 3,In Node Temp Zone 4,In Node Temp Zone 5,In Node Flow Zone 1,In Node Flow Zone 2,In Node Flow Zone 3,In Node Flow Zone 4,In Node Flow Zone 5,PPD,PPD Zone 1,PPD Zone 2,PPD Zone 3,PPD Zone 4,PPD Zone 5,PMV Zone 1,PMV Zone 2,PMV Zone 3,PMV Zone 4,PMV Zone 5,Indoor Temp.,Temp Zone 1,Temp Zone 2,Temp Zone 3,Temp Zone 4,Temp Zone 5,Lights Zone 1,Lights Zone 2,Lights Zone 3,Lights Zone 4,Lights Zone 5,Shade On Zone 1,Blind Angle Zone 1,Blind Angle Zone 4,Blind Angle Zone 2,Blind Angle Zone 3,Illum 1 Zone 1,Illum 2 Zone 1,Illum 1 Zone 3,Illum 2 Zone 3,Illum 1 Zone 2,Illum 1 Zone 4,time,SPACE1-1 Occupied,SPACE2-1 Occupied,SPACE3-1 Occupied,SPACE4-1 Occupied,SPACE5-1 Occupied
1991-01-18 13:00:00,7.2,92.5,700.5,726.0741903927989,11.998216760746436,0.0,0.0,1.0,11.756927755449574,22.5,12.003033454168522,12.003033454168522,14.334677962104518,12.825978959428916,12.003033454168522,0.33180642266453514,0.13440034299982692,0.16974909609944674,0.07620218059857377,0.3146766277693867,6.12651152339771,6.291128299960079,5.691467323261676,6.650390597091629,6.342028954750219,5.657542441924946,0.24940760780746896,0.18263181116932162,-0.28187988338341763,-0.254263406603006,-0.17810159991483768,23.37247903608332,23.89809602225863,23.898569023122114,22.999347592959985,22.999048938462227,23.067333603613644,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,1903.771951529664,2595.4261429830085,439.61091263528397,866.6660051605177,1772.8159145601755,883.2936003222392,1991-01-18 13:00:00,11.0,5.0,11.0,5.0,20.0
1991-01-18 13:15:00,7.9,88.75,700.75,526.8279489795133,11.998060368350277,0.0,0.0,1.0,11.758715637207647,22.5,12.002970905319,12.002970905319,13.670778813266105,12.002970905319,12.002970905319,0.35963143276943477,0.1228919296475982,0.1620350633284383,0.07273926897272731,0.30037654679893266,6.101904151663962,6.723194168165136,5.460291723431851,6.5690211491591555,6.237586563358022,5.519427154205644,0.2880096196063383,0.1490432443740275,-0.2748651885251869,-0.24419462007178735,-0.15831825806696168,23.400893637137504,23.897934818218967,23.898498033742122,22.99914452579995,23.006349594402266,23.202541213524214,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,6767.254153906563,9130.731244496088,433.2890098761061,851.7427952511911,1591.9927691578287,894.583402433618,1991-01-18 13:15:00,11.0,5.0,11.0,5.0,20.0
1991-01-18 13:30:00,8.6,85.0,701.0,390.1700251791509,11.99818029096915,0.0,0.0,1.0,11.760658601178148,22.5,12.003229459510742,12.003229459510742,12.92251522397253,12.003229459510742,12.003229459510742,0.3875727762708075,0.1115189825062558,0.15447012491805012,0.06934328739632016,0.2863528532243322,6.087903996710068,7.206988958352213,5.275165785473931,6.494939195537,6.131227564009592,5.331198480177605,0.325790810826463,0.11525989275640781,-0.26831737303801917,-0.23349082316352068,-0.12644429695929882,23.453966594590604,23.89804857461218,23.898616372171574,22.999003458517816,23.10204028740573,23.372124280245725,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,11376.565631098038,15325.079234897334,425.5877170130396,834.4351412126757,1418.1416119170326,901.1614007513783,1991-01-18 13:30:00,11.0,5.0,11.0,5.0,20.0
1991-01-18 13:45:00,9.3,82.5,691.5,251.62122185636977,11.998539976854966,0.0,0.0,1.0,11.762480428308951,22.5,12.003709575906779,12.003709575906779,12.079687629303708,12.003709575906779,12.003709575906779,0.4157041265279656,0.10101890554498748,0.1470806839525403,0.06602608849561793,0.272654492422662,6.072137807902547,7.771784668536952,5.149145614231429,6.399114057745379,5.883185793744175,5.157458905254799,0.3649150597034638,0.08486817380002233,-0.2596000692195053,-0.20636241981640596,-0.08720057452911475,23.522316829536468,23.898166798703755,23.898704988945326,22.998850522751933,23.259379339097762,23.55648249818356,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,15446.746179496176,20798.376638274094,417.0255408550387,816.5495680911844,1263.6761524038811,909.1341345383689,1991-01-18 13:45:00,11.0,5.0,11.0,5.0,20.0
1991-01-18 14:00:00,10.0,80.0,682.0,236.56863207275947,11.998359868362678,0.0,0.0,1.0,11.763941651848238,22.5,12.003625649938142,12.003625649938142,12.003625649938142,12.003625649938142,12.003625649938142,0.4409023026621427,0.0919674640000019,0.13988882062027042,0.06279758430278957,0.25932239609473134,6.071512859382497,8.354288237744996,5.073980433742051,6.311702801338612,5.576755920598799,5.040836903488028,0.4012244948455743,0.05977687837271859,-0.25138177397204964,-0.16681634268342047,-0.04441368031027195,23.611728270314075,23.89823274299954,23.89874040427313,23.07314556365387,23.441131805109727,23.747390835534112,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,18937.73304812809,25493.66026801801,407.19293384633454,796.5004951551,1114.7019258626183,914.0550245325118,1991-01-18 14:00:00,11.0,5.0,11.0,5.0,20.0
1991-01-18 14:15:00,10.4,77.5,672.5,241.58497297033392,12.002378025092092,0.0,0.0,1.0,11.765582375708643,22.5,12.010007201832229,12.010007201832229,12.010007201832229,12.010007201832229,12.010007201832229,0.46593488401988853,0.08536648967863952,0.13290973869038233,0.061466757909810134,0.26013000409344816,6.0862245515593285,8.995930303536838,5.0371532721367345,6.086325665904738,5.311688709950303,5.00002480626803,0.4376823575206833,0.04236338226014535,-0.22882031835045472,-0.12266611978165189,0.0010946878213119174,23.699794778494557,23.898255009234266,23.89873279989624,23.211215862576392,23.607185956182658,23.883584264583238,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,17871.562580036923,24018.0323842991,398.75310952938133,781.5208868000817,1037.8335028363565,952.0846175327503,1991-01-18 14:15:00,11.0,5.0,11.0,5.0,20.0
1991-01-18 14:30:00,10.8,75.0,663.0,254.86740593566068,12.006205790057313,0.0,0.0,1.0,11.763204776008049,22.5,12.013986541865918,12.013986541865918,12.013986541865918,12.013986541865918,12.013986541865918,0.4866296823288085,0.08049272825086473,0.12889525297081733,0.061466757909810134,0.27673544049568427,6.115993959974699,9.590070763669317,5.017885453755071,5.810892533095156,5.13608270804157,5.025038341312381,0.46886715780743965,0.029393488944336736,-0.1977509321281554,-0.08106757604202952,0.0347776769178096,23.752447124655394,23.898028952671336,23.89860286147621,23.341877044423658,23.727075372007885,23.896651392697873,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,16680.3921503429,22381.782614553063,388.999775706186,764.1441057332285,961.9294800759994,984.6968038199199,1991-01-18 14:30:00,11.0,5.0,11.0,5.0,20.0
1991-01-18 14:45:00,11.2,75.5,616.75,260.54028156001374,12.002635618407178,0.0,0.0,1.0,11.756999246190277,22.5,12.010496998843593,12.010496998843593,12.010496998843593,12.010496998843593,12.010496998843593,0.5047149225291714,0.07796210506585707,0.12497079112979814,0.061466757909810134,0.27701795788581784,6.161648780309801,10.116159947459252,5.012004391648588,5.584787494080075,5.050974069980825,5.044317998380265,0.49480479291009516,0.02408097155898064,-0.1679724095032955,-0.04962039894976016,0.04626779393344427,23.791824092380747,23.897814489921632,23.89845944714466,23.449361039896683,23.815606535517258,23.897878949423497,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,14660.673547743254,19653.841975614923,378.01549588137385,746.7210180765835,904.8243849721226,1035.7394575300384,1991-01-18 14:45:00,11.0,5.0,11.0,5.0,20.0
1991-01-18 15:00:00,11.6,76.0,570.5,261.4824558526893,12.000488681283786,0.0,0.0,1.0,11.754363732262362,22.5,12.008938790416568,12.008938790416568,12.008938790416568,12.008938790416568,12.008938790416568,0.5064486010938705,0.07645057479618983,0.1211920171420986,0.0630308328784529,0.2809766525060608,6.12373758583428,10.124132837042254,5.008114576637567,5.427280142103015,5.009223037007828,5.0499373363807365,0.4951871699183254,0.01979879194934418,-0.1436042201565475,-0.02110776315196803,0.04911326089036857,23.826022242140034,23.897719355651294,23.898336556189193,23.54476619752589,23.891399880349216,23.89788922098458,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,12676.495234048372,16984.116013340587,367.1473189605484,729.4684025534445,845.6926115722606,1087.6164801193545,1991-01-18 15:00:00,11.0,5.0,11.0,5.0,20.0
1991-01-18 15:15:00,11.75,76.5,524.25,262.32435026554856,12.000449869482486,0.0,0.0,1.0,11.753875060156659,22.5,12.00892942179336,12.00892942179336,12.00892942179336,12.00892942179336,12.00892942179336,0.5035481856313,0.07512033424410479,0.11755100025414199,0.07051908274875894,0.28311401810473436,6.06690513654637,9.967693892790294,5.0044717908625955,5.310387456047309,5.001420780606509,5.050551762425144,0.4876282362658426,0.01469766069212874,-0.12240996514876266,0.008284616755619015,0.04941444766385503,23.84564714406934,23.89767427162288,23.898246895530075,23.63711087675498,23.897390282982972,23.89781339345581,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,10735.91473081993,14411.513772374565,361.1391135765764,723.7176768736501,821.05889346055,1220.6894053874432,1991-01-18 15:15:00,11.0,5.0,11.0,5.0,20.0
