time,Outdoor Temp.,Diff. Solar Rad.,Direct Solar Rad.,HVAC Power,Sys Out Temp.,Heat Coil Power,Cool Coil Power,Occupancy Flag,MA Temp.,Indoor Temp. Setpoint,In Node Temp Zone 1,In Node Temp Zone 2,In Node Temp Zone 3,In Node Temp Zone 4,In Node Temp Zone 5,In Node Flow Zone 1,In Node Flow Zone 2,In Node Flow Zone 3,In Node Flow Zone 4,In Node Flow Zone 5,PPD,PPD Zone 1,PPD Zone 2,PPD Zone 3,PPD Zone 4,PPD Zone 5,PMV Zone 1,PMV Zone 2,PMV Zone 3,PMV Zone 4,PMV Zone 5,Indoor Temp.,Temp Zone 1,Temp Zone 2,Temp Zone 3,Temp Zone 4,Temp Zone 5,Lights Zone 1,Lights Zone 2,Lights Zone 3,Lights Zone 4,Lights Zone 5,Shade On Zone 1,Blind Angle Zone 1,Blind Angle Zone 4,Blind Angle Zone 2,Blind Angle Zone 3,Illum 1 Zone 1,Illum 2 Zone 1,Illum 1 Zone 3,Illum 2 Zone 3,Illum 1 Zone 2,Illum 1 Zone 4,time
1991-08-04 10:30:00,26.1,235.0,0.0,2125.951994046166,24.225122300360056,0.0,286.69747302421587,1.0,24.090997341395486,22.5,24.225122300360056,24.225122300360056,24.225122300360056,24.225122300360056,24.225122300360056,0.7074163429499855,0.32636497381370777,0.7270154064913125,0.3263649738137078,0.8095012588473296,9.513603397957585,11.848989098124434,5.291628264114436,8.93726921574249,9.9818177848163,11.50831262699026,-0.5717913226828581,-0.11865558306744253,-0.43447908506513605,-0.4883156120853138,-0.5575171842880783,23.119028180870746,22.764354692594686,23.783238581798706,23.039483126783317,22.994878619355113,23.013185883821894,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,553.0369986613914,841.4002894113432,813.4703330207434,1625.4736823619676,2017.7291340830861,1243.7862417964052,1991-08-04 10:30:00
1991-08-04 10:45:00,26.1,241.0,0.0,2148.4419045619875,24.180459078733627,0.0,309.18738354003756,1.0,24.08564712730472,22.5,24.180459078733627,24.180459078733627,24.180459078733627,24.180459078733627,24.180459078733627,0.7074163429499855,0.32636497381370777,0.7270154064913125,0.3263649738137078,0.8095012588473296,10.243314122773942,12.678021617200699,6.353438255913986,9.643029667552582,10.525963924557175,12.016117148645264,-0.605087590366315,-0.25533902955819504,-0.47154438987555414,-0.5140814147159827,-0.5786618659717426,23.04545197077586,22.740105306010694,23.455559175628153,23.002869577625802,22.987365569899783,23.041360224714886,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,569.7906461991499,863.8120639054393,810.3176276404863,1613.773939395777,1970.5951521952045,1286.0983789363813,1991-08-04 10:45:00
1991-08-04 11:00:00,26.1,247.0,0.0,2168.647122829293,24.177774347705103,0.0,329.39260180734306,1.0,24.118301280566765,22.5,24.177774347705103,24.177774347705103,24.177774347705103,24.177774347705103,24.177774347705103,0.7074163429499855,0.32636497381370777,0.7270154064913125,0.3263649738137078,0.8095012588473296,10.072998429340725,12.296529651791914,7.054612755043252,9.385158330212803,10.08382189377528,11.544869515880379,-0.5900052031912411,-0.3143883140998105,-0.45835728487305766,-0.49325075434986543,-0.5590668112797975,23.021760011907023,22.73333331661712,23.345332693524032,22.99060853206048,22.991822691817724,23.04770282551577,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,586.2811788293711,885.8949217449817,807.8763296090596,1603.6150964933558,1925.1615424641984,1328.4306936731741,1991-08-04 11:00:00
1991-08-04 11:15:00,26.375000000000004,253.0,0.0,15113.836689360327,12.001699293471164,0.0,13274.582168338377,1.0,24.094283635675144,22.5,12.001699293471164,12.001699293471164,12.001699293471164,12.001699293471164,12.001699293471164,0.7074163429499855,0.32636497381370777,0.7270154064913125,0.3263649738137078,0.8095012588473296,10.138122978438114,12.28609724725257,7.563321261434908,9.411405223322191,9.991182168039103,11.438608992141795,-0.5895871966344551,-0.3509912015350979,-0.4597172203260291,-0.4887708077257661,-0.5545501689690499,22.478517644542126,22.176705652766305,22.702425587851714,22.41536769554596,22.412152973576493,22.685936312970135,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,603.8650615759904,909.6512928870642,813.1773182417235,1611.2880325801982,1897.4083976142242,1373.880225685659,1991-08-04 11:15:00
1991-08-04 11:30:00,26.65,259.0,0.0,2005.1036851481992,24.54575301784761,0.0,165.84916412624898,1.0,24.20632093301509,22.5,24.54575301784761,24.54575301784761,24.54575301784761,24.54575301784761,24.54575301784761,0.7074163429499855,0.32636497381370777,0.7270154064913125,0.3263649738137078,0.8095012588473296,11.72815986602333,14.111935970096994,9.129012353321613,10.913474071152422,11.497571751918045,12.988805183627576,-0.6586264902850415,-0.4448620395873019,-0.5316508089649952,-0.5570610434982802,-0.6170954215950363,22.991243513556423,22.731514441326958,23.23074665955001,22.98621891814009,22.99459208969181,23.013145459073247,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,621.1483673058164,932.9675328571614,817.9767038295291,1617.990337913763,1869.0863389504946,1418.2922156252826,1991-08-04 11:30:00
1991-08-04 11:45:00,26.924999999999997,268.5,36.5,15311.33546626675,12.001752728308361,0.0,13472.0809452448,1.0,24.219345719529834,22.5,12.001752728308361,12.001752728308361,12.001752728308361,12.001752728308361,12.001752728308361,0.7074163429499855,0.32636497381370777,0.7270154064913125,0.3263649738137078,0.8095012588473296,10.294685992295395,12.287972755284883,8.231449226536853,9.443618902541218,9.92524535312846,11.585143723985567,-0.5896623670713227,-0.39385155652349735,-0.4613807038498685,-0.4855563632229918,-0.5607689265105187,22.462274114597335,22.178172280323547,22.61622414963826,22.41248469442052,22.421025262828067,22.68346418577627,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,637.1130151347406,953.9780632034489,731.38272997589,1447.151111809938,1882.4981791497323,1269.727862887997,1991-08-04 11:45:00
1991-08-04 12:00:00,27.2,278.0,73.0,2164.3281441870618,24.402554876255206,0.0,325.0736231651115,1.0,24.336541589046867,22.5,24.402554876255206,24.402554876255206,24.402554876255206,24.402554876255206,24.402554876255206,0.7074163429499855,0.32636497381370777,0.7270154064913125,0.3263649738137078,0.8095012588473296,11.119368290866806,13.171717121559126,8.916899595393446,10.309049166135722,10.790862492429596,12.408313078816136,-0.6240520344303355,-0.4333611076376214,-0.5039722548371226,-0.5261567975865769,-0.5944652359911079,22.99189760912588,22.749369476856103,23.225641498433024,22.978238006542828,22.997377153012536,23.00886191078491,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,708.5005397556258,1057.2873371248902,563.8360857252957,1121.7751147374638,1952.6392040769567,1017.3299684386036,1991-08-04 12:00:00
1991-08-04 12:15:00,27.325,287.5,109.5,15400.62137922071,12.001599666600026,0.0,13561.36685819876,1.0,24.353873949560978,22.5,12.001599666600026,12.001599666600026,12.001599666600026,12.001599666600026,12.001599666600026,0.7074163429499855,0.32636497381370777,0.7270154064913125,0.3263649738137078,0.8095012588473296,9.944713105204988,11.607727181764517,7.797331792256557,9.270047031828113,9.668299728590668,11.380159791585086,-0.5617210588739773,-0.36658440294591665,-0.45234355107847346,-0.47281639445129003,-0.5520495957602141,22.48544916552537,22.22806040538987,22.688881773373176,22.40535147155857,22.424274080097252,22.680678097207995,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,787.2152897204397,1172.808867524937,586.2138405782924,1167.690860889783,1953.050849044308,1170.405818049227,1991-08-04 12:15:00
1991-08-04 12:30:00,27.45,297.0,146.0,2359.1924926878014,24.167566155088057,0.0,519.9379716658511,1.0,24.441925695547717,22.5,24.167566155088057,24.167566155088057,24.167566155088057,24.167566155088057,24.167566155088057,0.7074163429499855,0.32636497381370777,0.7270154064913125,0.3263649738137078,0.8095012588473296,10.681433802149439,12.343973665382777,8.348941602229885,10.058208323271344,10.451930751560482,12.204114668302708,-0.5919023754980814,-0.400906463949569,-0.49201629566053845,-0.5106542258046369,-0.5862916709998836,23.001550922079012,22.786347092620918,23.256207657173455,22.9696172444479,22.999542183614892,22.996040432537885,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,868.9026367598126,1291.4673693157938,607.5561029673265,1210.783097571476,1938.1065228779364,1325.508638941138,1991-08-04 12:30:00
1991-08-04 12:45:00,27.575,287.0,109.5,15525.139501063293,12.001630455370494,0.0,13685.884980041343,1.0,24.430969566163437,22.5,12.001630455370494,12.001630455370494,12.001630455370494,12.001630455370494,12.001630455370494,0.7074163429499855,0.32636497381370777,0.7270154064913125,0.3263649738137078,0.8095012588473296,9.610539993899767,10.973935680857323,7.570889344964627,8.97357183810604,9.286065511703768,11.248237593867074,-0.5343386531811357,-0.35150651627768675,-0.4364642775562783,-0.45318529492574644,-0.5463625242806208,22.495611913537566,22.259889314686294,22.676198552996613,22.420606259869448,22.451275206880275,22.670090233255202,1584.0,684.0,1584.0,684.0,2964.0,0.0,0.0,0.0,0.0,0.0,851.8970928543384,1257.5044096783806,551.7724055670611,1098.4707723628608,1720.4363091604146,1327.1465667790228,1991-08-04 12:45:00
